movieId,genres,original_title,id,overview,actors,director
329,Adventure|Drama|Sci-Fi,Star Trek: Generations,193,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,"['patrickstewart', 'jonathanfrakes', 'brentspiner']",davidcarson
337,Drama,What's Eating Gilbert Grape,1587,"Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.","['johnnydepp', 'leonardodicaprio', 'juliettelewis']",lassehallström
344,Comedy,Ace Ventura: Pet Detective,3049,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man . . . or beast!","['jimcarrey', 'seanyoung', 'courteneycox']",tomshadyac
356,Comedy|Drama|Romance|War,Forrest Gump,13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","['tomhanks', 'robinwright', 'garysinise']",robertzemeckis
357,Comedy|Romance,Four Weddings and a Funeral,712,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,"['hughgrant', 'andiemacdowell', 'jamesfleet']",mikenewell
368,Adventure|Comedy|Western,Maverick,9359,"Maverick is a gambler who would rather con someone than fight them. He needs an additional three thousand dollars in order to enter a Winner Take All poker game that begins in a few days. He tries to win some, tries to collect a few debts, and recover a little loot for the reward. He joins forces with a woman gambler with a marvelous southern accent as the two both try and enter the game.","['melgibson', 'jodiefoster', 'jamesgarner']",richarddonner
377,Action|Romance|Thriller,Speed,1637,"Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end.","['keanureeves', 'dennishopper', 'sandrabullock']",jandebont
380,Action|Adventure|Comedy|Romance|Thriller,True Lies,36955,"Harry Tasker is a secret agent for the United States Government. For years, he has kept his job from his wife, but is forced to reveal his identity and try to stop nuclear terrorists when he and his wife are kidnapped by them.","['arnoldschwarzenegger', 'jamieleecurtis', 'tomarnold']",jamescameron
410,Children|Comedy|Fantasy,Addams Family Values,2758,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.","['raúljuliá', 'anjelicahuston', 'christopherlloyd']",barrysonnenfeld
431,Crime|Drama,Carlito's Way,6075,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC.","['alpacino', 'seanpenn', 'penelopeannmiller']",briandepalma
434,Action|Adventure|Thriller,Cliffhanger,9350,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.","['sylvesterstallone', 'johnlithgow', 'michaelrooker']",rennyharlin
441,Comedy,Dazed and Confused,9571,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.","['jasonlondon', 'rorycochrane', 'wileywiggins']",richardlinklater
442,Action|Adventure|Sci-Fi,Demolition Man,9739,"Simon Phoenix, a violent criminal cryogenically frozen in 1996, has escaped during a parole hearing in 2032 in the utopia of San Angeles. Police are incapable of dealing with his violent ways and turn to his captor, John Spartan, who had also been cryogenically frozen when wrongfully accused of killing 30 innocent people while apprehending Phoenix.","['sylvesterstallone', 'wesleysnipes', 'sandrabullock']",marcobrambilla
466,Action|Comedy|War,Hot Shots! Part Deux,9255,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm.","['charliesheen', 'lloydbridges', 'valeriagolino']",jimabrahams
480,Action|Adventure|Sci-Fi|Thriller,Jurassic Park,329,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.","['samneill', 'lauradern', 'jeffgoldblum']",stevenspielberg
485,Action|Adventure|Comedy|Fantasy,Last Action Hero,9593,"Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.","['arnoldschwarzenegger', 'f.murrayabraham', 'artcarney']",johnmctiernan
500,Comedy|Drama,Mrs. Doubtfire,788,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.","['robinwilliams', 'sallyfield', 'piercebrosnan']",chriscolumbus
504,Action|Drama|Sci-Fi,No Escape,192141,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed.","['owenwilson', 'lakebell', 'piercebrosnan']",johnerickdowdle
508,Drama,Philadelphia,9800,No one would take his case until one man was willing to take on the system. Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops their courage overcomes the prejudice and corruption of their powerful adversaries.,"['tomhanks', 'denzelwashington', 'jasonrobards']",jonathandemme
520,Comedy,Robin Hood: Men in Tights,8005,"Robin Hood comes home after fighting in the Crusades to learn that the noble King Richard is in exile and that the despotic King John now rules England, with the help of the Sheriff of Rottingham. Robin Hood assembles a band of fellow patriots to do battle with King John and the Sheriff.","['caryelwes', 'domdeluise', 'rogerrees']",melbrooks
527,Drama|War,Schindler's List,424,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"['liamneeson', 'benkingsley', 'ralphfiennes']",stevenspielberg
539,Comedy|Drama|Romance,Sleepless in Seattle,858,A young boy who tries to set his dad up on a date after the death of his mother. He calls into a radio station to talk about his dad’s loneliness which soon leads the dad into meeting a Journalist Annie who flies to Seattle to write a story about the boy and his dad. Yet Annie ends up with more than just a story in this popular romantic comedy.,"['tomhanks', 'megryan', 'billpullman']",noraephron
541,Action|Sci-Fi|Thriller,Blade Runner,78,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","['harrisonford', 'rutgerhauer', 'seanyoung']",ridleyscott
553,Action|Drama|Western,Tombstone,11969,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.","['kurtrussell', 'valkilmer', 'samelliott']",georgep.cosmatos
555,Crime|Thriller,True Romance,319,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.","['christianslater', 'patriciaarquette', 'michaelrapaport']",tonyscott
586,Children|Comedy,Home Alone,771,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.","['macaulayculkin', 'joepesci', 'danielstern']",chriscolumbus
587,Comedy|Drama|Fantasy|Romance|Thriller,Ghost,251,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.","['patrickswayze', 'demimoore', 'whoopigoldberg']",jerryzucker
588,Adventure|Animation|Children|Comedy|Musical,Aladdin,812,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.","['scottweinger', 'robinwilliams', 'lindalarkin']",ronclements
589,Action|Sci-Fi,Terminator 2: Judgment Day,280,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.","['arnoldschwarzenegger', 'lindahamilton', 'robertpatrick']",jamescameron
590,Adventure|Drama|Western,Dances with Wolves,581,"Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.","['kevincostner', 'marymcdonnell', 'grahamgreene']",kevincostner
592,Action|Crime|Thriller,Batman,268,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.","['jacknicholson', 'michaelkeaton', 'kimbasinger']",timburton
594,Animation|Children|Drama|Fantasy|Musical,Snow White and the Seven Dwarfs,408,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.","['adrianacaselotti', 'lucillelaverne', 'harrystockwell']",davidhand
595,Animation|Children|Fantasy|Musical|Romance|IMAX,Beauty and the Beast,10020,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.","[""paigeo'hara"", 'robbybenson', 'richardwhite']",garytrousdale
596,Animation|Children|Fantasy|Musical,Pinocchio,10895,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket. From Stromboli's circus to Pleasure Island, Pinocchio is tested by many temptations, but slowly learns how to navigate right from wrong. With a few mishaps along the way, Geppetto's ""little woodenhead"" finally gets it right, proving that when you wish upon a star dreams really can come true!","['melblanc', 'donbrodie', 'waltercatlett']",hamiltonluske
597,Comedy|Romance,Pretty Woman,114,"When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?","['juliaroberts', 'richardgere', 'ralphbellamy']",garrymarshall
608,Comedy|Crime|Drama|Thriller,Fargo,275,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!","['williamh.macy', 'francesmcdormand', 'stevebuscemi']",joelcoen
628,Crime|Drama|Mystery|Thriller,Primal Fear,1592,"An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a 3rd person in the room. The intensity builds when a surprise twist alters everyone's perception of the crime.","['richardgere', 'edwardnorton', 'lauralinney']",gregoryhoblit
648,Action|Adventure|Mystery|Thriller,Mission: Impossible,954,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.","['tomcruise', 'jonvoight', 'emmanuellebéart']",briandepalma
673,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,Space Jam,2300,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.","['michaeljordan', 'wayneknight', 'billywest']",joepytka
736,Action|Adventure|Romance|Thriller,Twister,664,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.","['helenhunt', 'billpaxton', 'caryelwes']",jandebont
750,Comedy|War,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.","['petersellers', 'georgec.scott', 'sterlinghayden']",stanleykubrick
778,Comedy|Crime|Drama,Trainspotting,627,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.","['ewanmcgregor', 'ewenbremner', 'jonnyleemiller']",dannyboyle
786,Action|Drama|Thriller,Eraser,9268,"U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen, who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program, he must guard his own life while trying to protect Lee's.","['arnoldschwarzenegger', 'jamescaan', 'vanessawilliams']",chuckrussell
832,Crime|Thriller,Ransom,3595,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.","['melgibson', 'garysinise', 'delroylindo']",ronhoward
837,Children|Comedy|Fantasy,Matilda,10830,"A grouchy couple are parents to a very sweet girl, Matilda. Unlike her bratty brother and mean parents, Matilda becomes a very sweet and extremely intelligent 6 year old girl, who is very keen to go to school and read books. After a while, her parents send her to school with the worst principal in the world, a very sweet teacher, and good friends. While trying to put up with her parents' and principal's cruelty, she starts to unwittingly unleash telekinetic powers, destroying a television and making a newt fly onto the principal. With enough practice, Matilda starts to learn to control her telekinetic powers and soon using them on her principal so she can drive her away from the school.","['marawilson', 'dannydevito', 'embethdavidtz']",dannydevito
899,Comedy|Musical|Romance,Singin' in the Rain,872,"In 1927 Hollywood, Don Lockwood and Lina Lamont are a famous on-screen romantic pair in silent movies, but Lina mistakes the on-screen romance for real love. When their latest film is transformed into a musical, Don has the perfect voice for the songs, but strident voice faces the studio to dub her voice. Aspiring actress, Kathy Selden is brought in and, while she is working on the movie, Don falls in love with her.","['genekelly', ""donaldo'connor"", 'debbiereynolds']",stanleydonen
902,Drama|Romance,Breakfast at Tiffany's,164,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.","['audreyhepburn', 'georgepeppard', 'patricianeal']",blakeedwards
903,Drama|Mystery|Romance|Thriller,Vertigo,426,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.","['jamesstewart', 'kimnovak', 'barbarabelgeddes']",alfredhitchcock
